LOS Supported?,Field ID,1003 Section,Data Stream,Position,Field Length,# Occurrences,Field Information,Value(s)/EDI Code(s),"Desktop
Underwriter (DU)",Government (G),"Credit
Request (CR)",EarlyCheck (EC),Root Element:  <LOAN_APPLICATION>
,02E-020,II,Down Payment Type Code,4,2,,"A code identifying the source of a down payment.

?04?and ?H0? should NOT be used for FHA loans.
Per HUD guidelines, ?H4? is NOT supported and will result in an error message or Ineligible recommendation.

Each source of down payment should be passed as an individual 02E segment to DU. Multiple occurrences of the 02E segment can be passed.

Only one instance of FHA Gift Source and Amount is sent to the FHA TOTAL Mortgage Scorecard. Please refer to the DUG July 2012 Release Notes, page 4, for more information. Users should refer to HUD guidelines to determine the appropriate FHA Down Payment Type Code to use.
","EDI Data Element 1083:

F1 = Checking/Savings
F2 = Deposit on Sales Contract
F3 = Equity Sold on Property
03 = Equity Pending from Sale
F4 = Equity Pending from Subject Property
04 = Gift Funds
F5 = Stocks and bonds
10 = Lot Equity
09 = Bridge Loan
01 = Unsecured Borrowed Funds
F6 = Trust Funds
F7 = Retirement Funds
11 = Rent with option to purchase
F8 = Life insurance cash value
14 = Sale of Chattel
07 = Trade Equity
06 = Sweat Equity
02 = Cash on Hand
13 = Other
28 = Secured Borrowed Funds
H0 = FHA ? Gift ? Source N/A
H1 = FHA ? Gift ? Source Relative
H3 = FHA ? Gift ? Source Government Assistance
H6 = FHA ? Gift ? Source Employer
H4 = FHA ? Gift ? Source Nonprofit/Religious/Community ? Seller Funded
H5 = FHA ? Gift ? Source Nonprofit/Religious/Community ? Non-Seller Funded",,C,,,<DOWN_PAYMENT _Type>
,02E-030,II,Down Payment Amount,6,15,,"The amount of funds for a down payment from a single source.

Format = 12(Z).2(Z)
For FHA loan submissions, the total sum of the amount(s) passed in 02E-030 for the Down Payment Type Codes: H1, H3, H5 and/or H6, should equal the sum of all gift assets listed in 06C.
",,,C,,,<DOWN_PAYMENT _Amount>
,02E-040,II,Down Payment Explanation,21,80,,"A brief comment, explaining the source of the down payment item.

Text",,,,,,<DOWN_PAYMENT _SourceDescription>
,,,<N/L>,,,,End of record: Length=100,,,,,,
,03A-010,,03A,1,3,SA,Record ID: Applicant(s) Data,,R,R,R,R,
,03A-020,III,Applicant / Co-Applicant Indicator,4,2,,"A code that indicates if this information is for the applicant or co-applicant.

EarlyCheck: Required for DU Compare.","BW = Applicant
QZ = Co-Applicant",R,R,R,R,<BORROWER _PrintPositionType>
,03A-030,III,Applicant Social Security Number,6,9,,"Unique number assigned by the United States Social Security Administration that identifies the applicant.

Format: Include only digits.

EarlyCheck: Required for DU Compare.",,R,R,R,R,<BORROWER _SSN>
,03A-040,III,Applicant First Name,15,35,,Text,,R,R,R,R,<BORROWER _FirstName>
,03A-050,III,Applicant Middle Name,50,35,,Text,,,,,,<BORROWER _MiddleName>
,03A-060,III,Applicant Last Name,85,35,,Text,,R,R,R,R,<BORROWER _LastName>
,03A-070,III,Applicant Generation,120,4,,"Text

The name suffix of the borrower. (E.g., JR, SR, II, III, IV or V)",,C,C,C,,<BORROWER_NameSuffix >
,03A-080,III,Home Phone,124,10,,Format: Include only digits,,,,,,<BORROWER _HomeTelephoneNumber>
,03A-090,III,Age,134,3,,"The age in years of the applicant

n",,,,,R,<BORROWER _AgeAtApplicationYears>
,03A-100,III,Yrs. School,137,2,,"The number of years that the applicant attended school. Includes grades 1-12, as well as, college

n",,,,,,<BORROWER SchoolingYears>
,03A-110,III,Marital Status,139,1,,,"EDI Data Element 1067:
M = Married
S = Separated
U = Unmarried (Single, Divorced, Widowed)",,,,,<BORROWER MaritalStatusType>
,03A-120,III,Dependents (no.),140,2,,"The number of dependents of the applicant.

N

Required for a VA loan.",,,C,,,<BORROWER DependentCount>
,03A-130,III,Completed Jointly/Not Jointly,142,1,,A code that indicates whether the applicant /co-applicant completed the application jointly with the associated applicant/co-applicant.,"Y = Yes
N = No",,,,,<BORROWER JointAssetLiabilityReportingType>
,03A-140,III,Cross-Reference Number,143,9,,"Social Security Number of applicant /co-applicant whose Assets/ Liabilities are reported jointly.

N

Fannie Mae: Required if a Co-Applicant exists.",,C,C,C,C,<BORROWER JointAssetBorrowerID>
,03A-150,III,Date of Birth,152,8,,"Applicant data of birth
Format: CCYYMMDD",,R,,,R,<BORROWER _BirthDate>
,03A-160,III,Email Address,160,80,,Applicant email address,,,,,,<BORROWER CONTACT_POINT _Type>
,,,<N/L>,,,,End of record: Length=239,,,,,,
,03B-010,,03B,1,3,M,"Record ID: Dependent?s Age.

Specify if field 03A-120 is >0. Number of occurrences must equal value in Field 03A-120.",,,C,,,
,03B-020,III,Applicant Social Security Number,4,9,,"Social Security Number of applicant whose dependent?s age is being entered.

n","Dependent?s Age.

Include occurrences if value of attribute Dependent Count is greater than zero. The number of occurrences of this element must equal the value of Dependent Count. Required for VA loans if 03A-120 is >0.",,C,,,<BORROWER _SSN>
,03B-030,III,Dependent's Age,13,3,,"Age of the dependent for the applicant.

n",,,C,,,<BORROWER DEPENDENT _AgeYears>
,,,<N/L>,,,,End of record: Length=15,,,,,,
,03C-010,,03C,1,3,M,Record ID: Applicant(s) Address,,R,R,R,R,<BORROWER _RESIDENCE>
,03C-020,III,Applicant Social Security Number,4,9,,"Social Security Number of applicant whose address is being entered.

n",,R,R,R,R,<BORROWER _SSN>
,03C-030,III,(Present/Former),13,2,,BH is not required. It only appears if mailing address is different from Present address. A borrower is limited to one mailing address.,"F4 = Former Residence
ZG = Present Address
BH = Mailing Address",R,R,R,R,<BORROWER _RESIDENCE BorrowerResidencyType>
,03C-040,III,Residence Street Address,15,50,,"The first and second lines of the address of the residence property.

Required if field 03C-030 is Present Address
Text

Note: This may be different from the mailing address of the property.
",,C,C,C,C,"<BORROWER _RESIDENCE _StreetAddress>

<BORROWER _MAIL_TO _StreetAddress>"
,03C-050,III,Residence City,65,35,,"The name of the municipality in which the property is located.

Text

Required if field 03C-030 is Present Address",,C,C,C,C,"<BORROWER _RESIDENCE _City>



<BORROWER _MAIL_TO _City>"
,03C-060,III,Residence State,100,2,,"The state, commonwealth or territory in which the property is located.

Text

Required if field 03C-030 is Present Address",,C,C,C,C,"<BORROWER _RESIDENCE _State>

<BORROWER _MAIL_TO _State>"
,03C-070,III,Residence Zip Code,102,5,,"The mail zone of the property.

N
Required if field 03C-030 is Present Address",,C,C,C,C,"<BORROWER _RESIDENCE _PostalCode>

<BORROWER _MAIL_TO _PostalCode>"
,03C-080,III,Residence Zip Code Plus Four,107,4,,"The mail sub zone of the property.

n",,,,,C,"<BORROWER _RESIDENCE _PostalCode>

<BORROWER _MAIL_TO _PostalCode>"
,03C-090,III,Own/Rent/Living Rent Free,111,1,,Identifies if the applicant is renting this residence or if he owns it.,"EDI Data Element 1078:
X = Living Rent Free
R = Rent
O = Own",,,,,<BORROWER _RESIDENCE BorrowerResidencyBasisType>
,03C-100,III,No. Yrs.,112,2,,n,,,R,,,<BORROWER _RESIDENCE BorrowerResidencyDurationYears>
,03C-110,III,No. Months,114,2,,"n

Only 1 through 11 are valid.",,,R,,,<BORROWER _RESIDENCE BorrowerResidencyDurationMonths>
,03C-120,III,Country,116,50,,Only applicable for Mailing Address.,,,,,,<BORROWER _MAIL_TO _Country>
,,,<N/L>,,,,End of record: Length=165,,,,,,
,04A-010,,04A,1,3,SA,Record ID: Primary Current Employer(s),"Employer Information

For each borrower, must have one occurrence for each employer.",R,R,,,<BORROWER EMPLOYER>
,04A-020,IV,Applicant Social Security Number,4,9,,"Social Security Number of applicant whose Employer being entered.

n",,C,C,,,<BORROWER _SSN>
,04A-030,IV,Employer Name,13,35,,Text,,,,,,<BORROWER EMPLOYER _Name>
,04A-040,IV,Employer Street Address,48,35,,"The first and second lines of the address of the employer.

Text

Note: This may be different from the mailing address of the property.",,,,,,<BORROWER EMPLOYER _StreetAddress>
,04A-050,IV,Employer City,83,35,,Text,,,,,,<BORROWER EMPLOYER _City>
,04A-060,IV,Employer State,118,2,,Text,,,,,,<BORROWER EMPLOYER _State>
,04A-070,IV,Employer Zip Code,120,5,,n,,,,,,<BORROWER EMPLOYER _PostalCode>
,04A-080,IV,Employer Zip Code Plus Four,125,4,,n,,,,,,<BORROWER EMPLOYER _PostalCode>
,04A-090,IV,Self Employed,1296,1,,"An indication of whether or not the applicant is/was self-employed 
during the particular employment period.","Y = Yes
N = No",C,C,,,<BORROWER EMPLOYER EmploymentBorrowerSelfEmployedIndicator>
,04A-100,IV,Yrs. on this job,130,2,,"The number of complete years of service to an employer from the start
of the employment until the end of the employment period or if the 
current position until the date of the loan application.

 n  ",,C,C,,,<BORROWER EMPLOYER CurrentEmploymentYearsOnJob>
,04A-110,IV,Months on this job,132,2,,"The number of months beyond the most recent completed full year of 
employment the applicant is/has been employed by the employer.

 n","The number of complete months of service to an employer from the start of employment until the date of the loan.

Fannie Mae: If specifying Secondary employment it is required to populate the Previous Employment Start Date.",C,C,,,<BORROWER EMPLOYER CurrentEmploymentMonthsOnJob>
,04A-120,IV,Yrs. employed in this line of work/profession,134,2,,"The total number of years the applicant has worked in the industry or the position.

n",,,,,,<BORROWER EMPLOYER CurrentEmploymentTimeInLineOfWorkYears>
,04A-130,IV,Position / Title / Type of Business,136,25,,Text,,,,,,<BORROWER EMPLOYER EmploymentPositionDescription>
,04A-140,IV,Business Phone,161,10,,n,,,,,,<BORROWER EMPLOYER _TelephoneNumber>
,,,<N/L>,,,,End of record: Length=170,,,,,,
,04B-010,,04B,1,3,M,"Record ID: Secondary/Previous Employer(s)

Required if Secondary or Previous Employment entered",,C,C,,,<BORROWER EMPLOYER>
,04B-020,IV,Applicant Social Security Number,4,9,,"The social security number of the applicant entered in the Secondary/Previous Employer(s).

n",,C,C,,,<BORROWER _SSN>
,04B-030,IV,Employer Name,13,35,,Text,,,,,,<BORROWER EMPLOYER _Name>
,04B-040,IV,Employer Street Address,48,35,,Text,,,,,,<BORROWER EMPLOYER _StreetAddress>
,04B-050,IV,Employer City,83,35,,Text,,,,,,<BORROWER EMPLOYER _City>
,04B-060,IV,Employer State,118,2,,Text,,,,,,<BORROWER EMPLOYER _State>
,04B-070,IV,Employer Zip Code,120,5,,n,,,,,,<BORROWER EMPLOYER _PostalCode>
,04B-080,IV,Employer Zip Code Plus Four,125,4,,n,,,,,,<BORROWER EMPLOYER _PostalCode>
,04B-090,IV,Self Employed,129,1,,"If Current, Secondary Employment, 04B-100 = Y","Y = Yes
N = No",C,C,,,<BORROWER EMPLOYER EmploymentBorrowerSelfEmployedIndicator>
,04B-100,IV,Current Employment Flag,130,1,,,"Y = Current Employment
N = Previous Employment",C,C,,,<BORROWER EMPLOYER EmploymentCurrentIndicator>
,04B-110,IV,From Date,131,8,,Format: CCYYMMDD,,C,C,,,<BORROWER EMPLOYER PreviousEmploymentStartDate>
,04B-120,IV,To Date,139,8,,"Format: CCYYMMDD

Fannie Mae: Populate for previous employment.",,,,,,<BORROWER EMPLOYER PreviousEmploymentEndDate>
,04B-130,IV,Monthly Income,147,15,,"Format: Z(12).Z(2)

Current Secondary Employment Income must also be combined with primary income and entered in field 05I-040.",,,,,,<BORROWER EMPLOYER IncomeEmploymentMonthlyAmount>
,04B-140,IV,Position / Title / Type of Business,162,25,,Text,,,,,,<BORROWER EMPLOYER EmploymentPositionDescription>
,04B-150,IV,Business Phone,187,10,,n,,,,,,<BORROWER EMPLOYER _TelephoneNumber>
,,,<N/L>,,,,End of record: Length=196,,,,,,
,05H-010,,05H,1,3,M,"Record ID: Present/Proposed Housing Expense 
Only for Applicants where the Applicant/Co-Applicant Indicator = Applicant (Field 03A-020 = BW).
Only for Applicants where the Applicant/Co-Applicant Indicator = Applicant (Field 03A-020 = BW).
Proposed Housing Expense applicable for subject property only.

Conventional Loans: For Second Homes/Investment Properties, you must ensure that the borrowers? total monthly primary residence housing expense including principal, interest, hazard insurance, real estate taxes, mortgage insurance and HOA dues are entered as both a housing expense AND included as a liability. 
For more information, refer to the DU Job Aid: Entering housing expenses for second homes and investment properties on Fanniemae.com.

Required for Proposed Housing Expense.

",,R,R,,R,
,05H-020,V,Applicant Social Security Number,4,9,,n,,C,C,,C,<BORROWER _SSN>
,05H-030,V,Present/Proposed Indicator,13,1,,A code that indicates whether the housing expense is for the applicant's current financial situation or for the proposed situation after purchase of the home.,"1 = Present Housing Expense
2 = Proposed Housing Expense",C,C,,C,No Corresponding MISMO Attribute
,05H-040,V,Housing Payment Type Code,14,2,,"Fannie Mae: Ground Rent is not
supported. Send as ?Other? (23). Proposed Rent 05H-030=2 and 05H-040=?Rent? (25) is an invalid combination and is not supported by DU.","EDI Data Element 1071:
25 = Rent
26 = First Mortgage P&I
22 = Other Financing P&I
01 = Hazard Insurance
14 = Real Estate Taxes
02 = Mortgage Insurance
06 = Homeowner Association Dues
23 = Other",C,C,,C,"<PROPOSED_HOUSING_EXPENSE HousingExpenseType>
OR
<BORROWER PRESENT_HOUSING_EXPENSE HousingExpenseType>
"
,05H-050,V,Housing Payment Amount (Monthly Housing Exp.),16,15,,Format: Z(12).Z(2),,C,C,,C,"<PROPOSED_HOUSING_EXPENSE _PaymentAmount>
OR
<BORROWER PRESENT_HOUSING_EXPENSE _PaymentAmount>
"
,,,<N/L>,,,,End of record: Length=30,,,,,,
,05I-010,                                                                                                                                                                                                                                                                                                                                                                 ,05I,1,3,M,"Record ID: Income

Segment required for each type of Income

1 record with Type of Income Code = 33 (Net Rental Income) required if applicable and not detailed in REO records (06G) with Net Rental Income > 0.",,C,C,,C,
,05I-020,V,Applicant Social Security Number,4,9,,n,,C,C,,C,<BORROWER _SSN>
,05I-030,V,Type of Income Code,13,2,,"*Income values are only supported by DU and should not be sent for FHA or VA loans.
**Net Rental Income can be entered in the Income or REO segment. Please review the information on page 65, Net Rental Income.","EDI Data Element 1186, each income type can be used only once per applicant:
F1 = Military Base Pay
07 = Military Rations Allowance
F2 = Military Flight Pay
F3 = Military Hazard Pay
02 = Military Clothes Allowance
04 = Military Quarters Allowance
03 = Military Prop Pay
F4 = Military Overseas Pay
F5 = Military Combat Pay
F6 = Military Variable Housing Allowance
F7 = Alimony/Child Support Income
F8 = Notes Receivable/Installment
",C,C,,C,<BORROWER CURRENT_INCOME IncomeType>
,,,,,,,,"41 = Pension/Retirement Income
42 = Social Security/Disability Income
30 = Real Estate/Mortgage Differential
F9 = Trust Income
AU = Accessory Unit Income*
M1 = Unemployment/Public Assistance
M2 = Automobile/Expense Account Income
M3 = Foster Care
M4 = VA Benefits (non-education)
NB = Non-Borrower Household Income*
45 = Other Income
20 = Base Employment Income
09 = Overtime
08 = Bonuses
10 = Commissions
17 = Dividends/Interest
SI = Subject Property Net Cash Flow
S8 = Housing Choice Voucher (Sec 8)*
33 = Net Rental Income**
BI = Boarder Income
MC = Mortgage Credit Certificate (MCC)
CG = Capital Gains*
EA = Employment Related Assets*
FI = Foreign Income*
RP = Royalty Payment*
SE = Seasonal Income*
TL = Temporary Leave*
TI = Tip Income*",,,,,
,05I-040,V,Income Amount (Monthly Income),15,15,,"Format:  Z(12).Z(2)

All primary and secondary employment income must be combined and entered as a total in this field. A negative value is valid.",The total dollar amount per month of the borrower?s current income of a single Income Type from both primary and secondary sources. Collected on the URLA in V Monthly Income.,C,C,,C,<BORROWER CURRENT_INCOME _MonthlyTotalAmount>
,,,<N/L>,,,,End of record: Length=29,,,,,,
,06A-010,,06A,1,3,M,"Record ID: For all asset types, enter data in the 06C assets segment.

Do not use. Record data in 06C.",,,,,,
,06A-020,VI,Applicant Social Security Number,4,9,,"n

Do not use. Record data in 06C.",,,,,,No Corresponding MISMO Attribute
,06A-030,VI,Cash deposit toward purchase held by,13,35,,"Text

Do not use. Record data in 06C.",,,,,,No Corresponding MISMO Attribute
,06A-040,VI,Cash or Market Value,48,15,,"Format:  Z(12).Z(2)

Do not use. Record data in 06C and/or 07B as: 'Other Credits'.",,,,,,No Corresponding MISMO Attribute
,,,<N/L>,,,,End of record: Length=62,,,,,,
,06B-010,,06B,1,3,M,Record ID: Life Insurance,,C,,,C,
,06B-020,VI,Applicant Social Security Number,4,9,,n,,C,,,C,<BORROWER _SSN>
,06B-030,VI,Acct. no.,13,30,,Format: Text,,,,,,<ASSET _AccountIdentifier>
,06B-040,VI,Life Insurance Cash or Market Value,43,15,,"The applicant reported amount of U.S. dollars to be received if the asset were sold at time of transaction.

Format:  Z(12).Z(2)",,C,,,,<ASSET _CashOrMarketValueAmount>
,06B-050,VI,Life insurance Face Amount,58,15,,"The amount the insurer will pay in the event of the death of the applicant.

Format: Z(12).Z(2)",,,,,,<ASSET LifeInsuranceFaceValueAmount>
,,,<N/L>,,,,End of record: Length=72,,,,,,
,06C-010,,06C,1,3,M,Record ID: Assets,,C,R,,,
,06C-020,VI,Applicant Social Security Number,4,9,,n,,C,C,,,<BORROWER _SSN>
,06C-030,VI,Account/Asset Type,13,3,,A code uniquely identifying a category or class of items that have value in the market considered when determining the net worth of the Applicant.,"EDI Data Element 569:
03 = Checking Account
F1 = Cash Deposit on Sales Contract
SG = Savings Account
F2 = Gift
01 = Certificate of Deposit
F3 = Money Market Fund
F4 = Mutual Funds
05 = Stock
06 = Bond
F5 = Secured Borrowed Funds
F7 = Bridge Loan
08 = Retirement Funds
F8 = Net Worth of Business Owned
11 = Trust Funds
M1 = Other Non-Liquid Asset
OL = Other Liquid Asset
NE = Net Equity
COH = Cash On Hand
GE = Gift of Equity",C,C,,,<ASSET _Type>
,06C-040,VI,Depository/Stock/Bond Institution Name,16,35,,"Format: Text

Do not specify value if field #06C-030 is Other",,,,,,<ASSET _HolderName>
,06C-050,VI,Depository Street Address,51,35,,"Format: Text

Do not specify value if field #06C-030 is Other",,,,,,<ASSET _HolderStreetAddress>
,06C-060,VI,Depository City,86,35,,"Format: Text

Do not specify value if field #06C-030 is Other",,,,,,<ASSET _HolderCity>
,06C-070,VI,Depository State,121,2,,"Format: Text

Do not specify value if field #06C-030 is Other",,,,,,<ASSET _HolderState>
,06C-080,VI,Depository Zip Code,123,5,,"Format: n

Do not specify value if field #06C-030 is Other",,,,,,<ASSET _HolderPostalCode>
,06C-090,VI,Depository Zip Code Plus Four,128,4,,"Format: n

Do not specify value if field #06C-030 is Other",,,,,,<ASSET _HolderPostalCode>
,06C-100,VI,Acct. no.,132,30,,"Format: Text

Do not specify value if field #06C-030 is Other",,,,,,<ASSET _AccountIdentifier>
,06C-110,VI,Cash or Market Value,162,15,,"The applicant reported amount of U.S. dollars to be received if the asset were sold at the time of transaction.
",,C,C,,,<ASSET _CashOrMarketValueAmount>
,06C-110,VI,Cash or Market Value,162,15,,"Format:  Z(12).Z(2)

If Account/Asset Type Code 06C-030= 'F1' (Cash Deposit On Sales Contract) then this value must also be entered in segment 07B as ""Other Credits?.",,C,C,,,<ASSET _CashOrMarketValueAmount>
,06C-120,VI,Number of Stock/Bond Shares,177,7,,"Integer identifying the no. of shares of stock and bonds applicant owns.

Format: n",,,,,,<ASSET StockBondMutualFundShareCount>
,06C-130,VI,Asset Description,184,80,,"Describes if asset is stock, bond or other.

Format: Text",,,,,,<ASSET OtherAssetTypeDescription>
,06C-140,VI,Reserved for Future Use,264,1,,"Unused, pad with space",,,,,,No Corresponding MISMO Data
,06C-150,VI,Reserved for Future Use,265,2,,"Unused, pad with spaces",,,,,,No Corresponding MISMO Data
,,,<N/L>,,,,End of record: Length=266,,,,,,
,06D-010,,06D,1,3,M,Record ID: Automobile(s),,,,,,
,06D-020,VI,Applicant Social Security Number,4,9,,n,,C,C,,,<BORROWER _SSN>
,06D-030,VI,Automobile Make/ Model,13,30,,"Name given to a class of automobiles by the manufacturer to identify the particular product line.

Format: Text",,,,,,<ASSET AutomobileMakeDescription>
,06D-040,VI,Automobile Year,43,4,,"Model year of the automobile or the year the automobile manufacturer introduced the version of the model for sale to the general public.

Format: CCYY",,,,,,<ASSET AutomobileModelYear>
,06D-050,VI,Cash or Market Value,47,15,,"Applicant reported amount of U.S. dollars to be received if the asset was sold at the time of transaction.

Format:  Z(12).Z(2)",,C,C,,,<ASSET _CashOrMarketValueAmount>
,,,<N/L>,,,,End of record: Length=61,,,,,,
,06F-010,,06F,1,3,,"Record ID: Alimony, Child Support/ Separate Maintenance and/or Job Related Expense(s)

Required if Alimony, Child Support/ Maintenance and/or Job Related Expense(s) exist.",,C,C,,C,
,06F-020,VI,Applicant Social Security Number,4,9,,Format: n,,C,C,,C,<BORROWER _SSN>
,06F-030,VI,Expense Type Code,13,3,,,"EDI Data Element:
DR = Alimony
DT = Child Support
DV = Separate Maintenance Payment
DZ = Job Related Expense
EE = Other Expense Type",C,C,,C,<LIABILITY _Type>
,06F-040 ,VI,Monthly Payment Amount,16,15,,"Dollar amounts which must be paid monthly to pay down the liability and keep the account current.

Format: Z(12).Z(2) ",,C,C,,C,<LIABILITY _MonthlyPaymentAmount>
,06F-050,VI,Months Left to Pay,31,3,,"Number of months the applicant must continue to make monthly payments to fully and satisfactorily pay off the liability.

Format: n",,,,,,<LIABILITY _RemainingTermMonths>
,06F-060,VI,Alimony/ Child Support/ Separate Maintenance Owed To,34,60,,"Identifies to whom Alimony/ Child Support/ Separate Maintenance is owed.
",,,,,,<LIABILITY AlimonyOwedToName>
,06F-060,VI,Alimony/ Child Support/ Separate Maintenance Owed To,34,60,,"Format: Text

Specify value if field #O6F-030 is Child Support/ Alimony ? not required",,,,,,<LIABILITY AlimonyOwedToName>
,,,<N/L>,,,,End of record: Length=93,,,,,,
,06G-010,,06G,1,3,M,"Record ID: Real Estate Owned

Required if Real Estate Property(s) is owned",,C,C,,C,
,06G-020,VI,Applicant Social Security Number,4,9,,"Format: n

Note : The SSN associated to a property in the REO section must match the SSN of the account owner of the liability matched to that property",,C,C,,C,<BORROWER _SSN>
,06G-030,VI,Property Street Address,13,35,,"First and second lines of the address of the property.

Format: Text",,,,,,<REO_PROPERTY _StreetAddress>
